iter	RMSE
0	0.7633248618
1	0.7573287157
2	0.7522648127
3	0.7476632211
4	0.7425513314
5	0.7374529705
6	0.7324382214
7	0.7285479287
8	0.7249295795
9	0.7207756326
10	0.7169044925
11	0.7137784161
12	0.7106731309
13	0.7079764066
14	0.7048602627
15	0.7014244556
16	0.6985264469
17	0.6957673417
18	0.69354599
19	0.6911336492
20	0.6889252031
21	0.6865028027
22	0.6844794675
23	0.6819602635
24	0.6800749799
25	0.6779678104
26	0.6763818166
27	0.6746844347
28	0.6726742298
29	0.6715104482
30	0.6701940409
31	0.6688456372
32	0.6676455369
33	0.6665048848
34	0.6652831006
35	0.663980779
36	0.6627339868
37	0.6614398557
38	0.6603299269
39	0.6594307749
40	0.6585194786
41	0.6573884156
42	0.6563642068
43	0.6553452677
44	0.6543986324
45	0.6533869875
46	0.6523169215
47	0.651353293
48	0.6503329424
49	0.6494659031
50	0.6485813328
51	0.6476954249
52	0.6467272543
53	0.6458146456
54	0.6453346909
55	0.6440915833
56	0.6432761508
57	0.6423906005
58	0.641396875
59	0.6407120714
60	0.6396005776
61	0.6390138235
62	0.6380410415
63	0.6373520255
64	0.636771037
65	0.6362478057
66	0.6354097863
67	0.6340417904
68	0.6331395994
69	0.6322851012
70	0.6314590372
71	0.6309837762
72	0.6303873644
73	0.6298807829
74	0.6295306382
75	0.6289735934
76	0.6286230298
77	0.6280619763
78	0.6277578183
79	0.6272549779
80	0.6265460078
81	0.6259224545
82	0.6247989669
83	0.6241272795
84	0.6237187962
85	0.623197262
86	0.6226322047
87	0.6221796242
88	0.6217481963
89	0.6213974431
90	0.6209571864
91	0.6204099003
92	0.6196754509
93	0.6190577917
94	0.6187017518
95	0.6182461551
96	0.6177097598
97	0.6173870437
98	0.6169653597
99	0.6163977019
100	0.6160300374
101	0.6156647059
102	0.6153187972
103	0.6149048023
104	0.6144680897
105	0.6139432086
106	0.6137436717
107	0.613463347
108	0.61339671
109	0.6132422917
110	0.6127333374
111	0.612496744
112	0.6121210226
113	0.6117797373
114	0.611082463
115	0.6104279145
116	0.6098762595
117	0.6092423973
118	0.6088858039
119	0.6085563577
120	0.6079613389
121	0.6078857732
122	0.6073274176
123	0.6068263772
124	0.6065306979
125	0.6060715569
126	0.6053930976
127	0.6049800671
128	0.6047426809
129	0.6038612805
130	0.6035493228
131	0.6030930832
132	0.6026814873
133	0.6022937621
134	0.6015883086
135	0.6012051226
136	0.6007632151
137	0.6001125242
138	0.5998841537
139	0.5997303288
140	0.5995376417
141	0.5993347407
142	0.5989200039
143	0.5984366968
144	0.598125169
145	0.5979128946
146	0.5977555902
147	0.5976191425
148	0.5969997132
149	0.5965892122
150	0.5963096528
151	0.5959312814
152	0.5955529605
153	0.595288516
154	0.5949729211
155	0.594466862
156	0.5939461063
157	0.5936130474
158	0.5931928034
159	0.5931450452
160	0.5925048051
161	0.592146465
162	0.5919700065
163	0.5912362922
164	0.5909753296
165	0.5908378555
166	0.5907218263
167	0.5900760146
168	0.5899094418
169	0.5894727286
170	0.5886660516
171	0.5880100829
172	0.5873880796
173	0.586789623
174	0.586337402
175	0.5861055048
176	0.5858145688
177	0.5851965681
178	0.5849922065
179	0.5845570799
180	0.5839869022
181	0.583855458
182	0.5831313576
183	0.5830157644
184	0.5827230828
185	0.5818788677
186	0.5811053212
187	0.5801945116
188	0.5801552112
189	0.5800908999
190	0.5796816524
191	0.5788719827
192	0.5785934946
193	0.5784698626
194	0.5780620405
195	0.577587616
196	0.5772876947
197	0.577058208
198	0.5769031259
199	0.5762662636
