iter	RMSE
0	0.7560827466
1	0.7515593466
2	0.746891087
3	0.7425627377
4	0.7380145597
5	0.7339536419
6	0.730916312
7	0.7269153739
8	0.7228594504
9	0.718774133
10	0.7147274378
11	0.7107415816
12	0.7069997363
13	0.7041232037
14	0.7015922791
15	0.6981735052
16	0.6946619493
17	0.6926860649
18	0.690039234
19	0.6872270817
20	0.6850848115
21	0.6826139582
22	0.6799999292
23	0.6777610705
24	0.6757633413
25	0.6737684871
26	0.672217073
27	0.6704988258
28	0.6687763312
29	0.6668674613
30	0.6645947742
31	0.6633351791
32	0.6615859325
33	0.659778073
34	0.6584854108
35	0.6571453956
36	0.6558732842
37	0.6534197429
38	0.6519077581
39	0.6504708221
40	0.6488051537
41	0.6470298615
42	0.6461131622
43	0.6445794275
44	0.6427928618
45	0.6417898221
46	0.6400348696
47	0.6388399108
48	0.6374394254
49	0.6359504234
50	0.634398518
51	0.6332485867
52	0.6322179989
53	0.6312963293
54	0.6296776096
55	0.6288035942
56	0.6273564792
57	0.6262630402
58	0.625059282
59	0.6236295333
60	0.6227318879
61	0.6221085678
62	0.620854256
63	0.6198752122
64	0.6189137338
65	0.6172832762
66	0.6163338732
67	0.6155101478
68	0.6147506447
69	0.613449526
70	0.6116742895
71	0.6106247112
72	0.609092097
73	0.6081206447
74	0.6070777871
75	0.6061079178
76	0.6050305585
77	0.6043430174
78	0.6035235294
79	0.6025683851
80	0.6019846854
81	0.6009873293
82	0.6001004818
83	0.598828374
84	0.5979178049
85	0.5967957011
86	0.5961877227
87	0.5955895734
88	0.5948250566
89	0.5937832291
90	0.5930504582
91	0.5923146122
92	0.5911710149
93	0.5904863473
94	0.5895954583
95	0.5891191833
96	0.5882063494
97	0.5874651799
98	0.5868712031
99	0.5856577883
100	0.5848541204
101	0.5844652382
102	0.5840505184
103	0.5832871487
104	0.5823744774
105	0.5818163937
106	0.5805837606
107	0.5800857523
108	0.579285736
109	0.5786077858
110	0.5780722926
111	0.5775632889
112	0.5768079093
113	0.5755249529
114	0.5751179561
115	0.5745895077
116	0.5732405428
117	0.5728425659
118	0.5721899553
119	0.5712812806
120	0.5704835311
121	0.5696318676
122	0.5693943781
123	0.5685063219
124	0.5679214558
125	0.5673073824
126	0.5669341413
127	0.5660036516
128	0.5651817287
129	0.5648064572
130	0.5636220373
131	0.5628963559
132	0.5619493726
133	0.5611042461
134	0.5609708279
135	0.560242959
136	0.5597976433
137	0.5593001811
138	0.5584118759
139	0.5577760241
140	0.5571022999
141	0.5567314665
142	0.5559538317
143	0.5557598496
144	0.5550024221
145	0.5542185926
146	0.5533668656
147	0.5524486338
148	0.5514692723
149	0.5506017316
150	0.549566048
151	0.548828006
152	0.5485728002
153	0.5482224565
154	0.5476273917
155	0.5464842392
156	0.5463321273
157	0.5462104926
158	0.5451229243
159	0.5438828296
160	0.5436667484
161	0.5433286381
162	0.5427509483
163	0.5413694359
164	0.5402960237
165	0.5398746303
166	0.5390986158
167	0.5383937264
168	0.5375123039
169	0.5372010509
170	0.5363358552
171	0.5358721246
172	0.5354224882
173	0.5349277299
174	0.5330226428
175	0.532361993
176	0.5313257094
177	0.5304100064
178	0.5293067337
179	0.5287639351
180	0.527403273
181	0.5271806436
182	0.5269421462
183	0.5252737872
184	0.5237643632
185	0.5237184908
186	0.522721556
187	0.52267066
188	0.5217280109
189	0.5206363966
190	0.5204661676
191	0.5203430514
192	0.5200038139
193	0.5192833982
194	0.5184543985
195	0.5177037925
196	0.517657924
197	0.5176111045
198	0.5174857397
199	0.5170397235
