iter	RMSE
0	0.7640519889
1	0.7573740545
2	0.7505432062
3	0.7443169421
4	0.7390896149
5	0.7337243821
6	0.7287936475
7	0.7235728472
8	0.7196263323
9	0.7157044499
10	0.7121115395
11	0.7083934969
12	0.7049758571
13	0.7013310791
14	0.6984819795
15	0.6958284542
16	0.6939498682
17	0.691401864
18	0.6880626465
19	0.685069536
20	0.6822279111
21	0.6798401032
22	0.6776135808
23	0.675533837
24	0.6735821497
25	0.6716677402
26	0.6693869624
27	0.6681895294
28	0.6670134477
29	0.6647967715
30	0.6635535513
31	0.6620888332
32	0.6600088284
33	0.6586872769
34	0.6570049453
35	0.6556483048
36	0.6539951758
37	0.6525248983
38	0.6513866313
39	0.6501088514
40	0.6487889855
41	0.6478785267
42	0.6466455132
43	0.645044968
44	0.6436472779
45	0.6425866116
46	0.6417230157
47	0.6407608619
48	0.6394352855
49	0.6384774168
50	0.6377937606
51	0.6367802096
52	0.6357696297
53	0.6346949703
54	0.6338600706
55	0.6329071213
56	0.6322946609
57	0.6316136775
58	0.6308536634
59	0.6296190863
60	0.628615536
61	0.6274721809
62	0.6266255609
63	0.6259287337
64	0.6249169103
65	0.6242038152
66	0.6234592932
67	0.622459258
68	0.6219698356
69	0.6213786368
70	0.6210303007
71	0.6206484361
72	0.6199457605
73	0.6191172904
74	0.6187581906
75	0.6183490834
76	0.617683585
77	0.6169667902
78	0.616340024
79	0.6158886783
80	0.6152875068
81	0.6147495263
82	0.613974284
83	0.6133665116
84	0.6129204681
85	0.6120653085
86	0.6117324358
87	0.6112196977
88	0.6106604573
89	0.609898568
90	0.6093433905
91	0.6087805325
92	0.6079839624
93	0.6073854414
94	0.6068533904
95	0.6064453022
96	0.6059587171
97	0.6053412377
98	0.6052130037
99	0.604494952
100	0.604103753
101	0.6036735992
102	0.6033442299
103	0.6027881505
104	0.6018451161
105	0.6013463414
106	0.6010995196
107	0.600555887
108	0.5998410119
109	0.5994217852
110	0.5989385051
111	0.5983754791
112	0.5981415067
113	0.5977018805
114	0.5972779188
115	0.5970635996
116	0.5967207831
117	0.5962101518
118	0.5958860078
119	0.5954884532
120	0.5947889037
121	0.5942016009
122	0.5936705923
123	0.593395883
124	0.5927881448
125	0.5921315156
126	0.5915695379
127	0.5912013933
128	0.5907083058
129	0.5904233143
130	0.5901726324
131	0.5899364005
132	0.5894783978
133	0.5889346243
134	0.588480348
135	0.5879815928
136	0.5871897006
137	0.5865852053
138	0.5863556871
139	0.5861638773
140	0.5855278283
141	0.5848408054
142	0.5841600617
143	0.5836207575
144	0.5830164898
145	0.5825308596
146	0.5821605002
147	0.5817590684
148	0.5813901647
149	0.5811855481
150	0.5806714243
151	0.580171462
152	0.5794953346
153	0.5790639448
154	0.5784933214
155	0.5776706067
156	0.5767656848
157	0.5762274426
158	0.5757017902
159	0.5752054953
160	0.5747915049
161	0.5743429619
162	0.5737879143
163	0.5734095845
164	0.5731229988
165	0.5727861627
166	0.5724277513
167	0.5721505478
168	0.5717400663
169	0.5713946808
170	0.5710281
171	0.5707247677
172	0.5704578685
