iter	RMSE
0	0.7636331204
1	0.7576329171
2	0.7524258273
3	0.7470386673
4	0.7415144372
5	0.7361490888
6	0.7311323644
7	0.72687921
8	0.7227752688
9	0.7188378282
10	0.7147867104
11	0.7109551681
12	0.7079012829
13	0.7050453291
14	0.7022416264
15	0.6988310404
16	0.6963597128
17	0.6935250459
18	0.6910912329
19	0.6890611209
20	0.6866749723
21	0.684454282
22	0.6823039173
23	0.6801394389
24	0.6785283669
25	0.6767061807
26	0.6748154787
27	0.6729853095
28	0.671428016
29	0.6698424624
30	0.6683184626
31	0.6667300012
32	0.6651233074
33	0.6637529036
34	0.6625358609
35	0.661599432
36	0.6602897485
37	0.6589399945
38	0.6576523609
39	0.656368208
40	0.6551214069
41	0.6540012198
42	0.6531500702
43	0.6522673514
44	0.6513124698
45	0.650168282
46	0.6492656086
47	0.648227212
48	0.6472614636
49	0.6464632489
50	0.6454725141
51	0.6445399643
52	0.6433911075
53	0.6421989977
54	0.6413813823
55	0.6403772852
56	0.6396719698
57	0.6391420865
58	0.6385594781
59	0.6380926446
60	0.6375816182
61	0.6367604215
62	0.6358007632
63	0.6349337516
64	0.6340772026
65	0.6333423575
66	0.6326358167
67	0.6319046593
68	0.6314314329
69	0.6309273207
70	0.6303973367
71	0.6296545059
72	0.6288774356
73	0.6282524304
74	0.6276558864
75	0.6270547546
76	0.6262869776
77	0.6255776728
78	0.6252316558
79	0.6244683802
80	0.6236774901
81	0.6229170485
82	0.6221574252
83	0.6212694384
84	0.6204857155
85	0.619751693
86	0.6191083387
87	0.6186397941
88	0.6182010237
89	0.6175787799
90	0.6170995636
91	0.6168244243
92	0.6164334215
93	0.6156723216
94	0.6150706272
95	0.614476198
96	0.6140082725
97	0.6137177996
98	0.6131842739
99	0.6125144587
100	0.6116170231
101	0.611097929
102	0.6106159997
103	0.6099725927
104	0.6094946556
105	0.6088784637
106	0.6085377747
107	0.6080910458
108	0.6076586145
109	0.6072518885
110	0.6067911598
111	0.6065314497
112	0.6063015429
113	0.6054259922
114	0.6047909539
115	0.6045272811
116	0.6040193847
117	0.603757327
118	0.6033271847
119	0.6028782087
120	0.6024537556
121	0.6015827428
122	0.6010938461
123	0.6005143175
124	0.6000556297
125	0.5995946581
126	0.5994701268
127	0.5993444738
128	0.5986260326
129	0.5981130601
130	0.5977634749
131	0.5972414021
132	0.5968724263
133	0.596408449
134	0.5959022312
135	0.5954539593
136	0.5948878252
137	0.5941632267
138	0.5935015933
139	0.5934229929
140	0.5931026798
141	0.592600787
142	0.5921958198
143	0.5918805456
144	0.5912089824
145	0.5907543007
146	0.5904144326
147	0.589690685
148	0.589393712
149	0.5890170243
150	0.588570362
151	0.5878693571
152	0.5875986302
153	0.5870952798
154	0.5865192047
155	0.5860152272
156	0.5855166103
157	0.5851907643
158	0.585059178
159	0.5848588796
160	0.5843828996
161	0.5842256029
162	0.5835580837
163	0.5828567658
164	0.5825603934
165	0.5822298344
166	0.5817011193
167	0.5816020803
168	0.5812006251
169	0.5805152661
170	0.5801059161
171	0.579483775
172	0.5793302534
173	0.5791742598
174	0.5783194625
175	0.5779351616
176	0.5773091343
177	0.5770375637
178	0.5763436805
179	0.5762616144
180	0.5757057625
181	0.5754953113
182	0.5749651884
183	0.5747606346
184	0.5743736665
185	0.5737714873
186	0.5733386705
187	0.5730307045
188	0.5728015552
189	0.5721300342
190	0.571987964
191	0.5715569374
192	0.5712335292
193	0.5709779301
194	0.5707244952
195	0.5703203616
196	0.5702256248
197	0.5700701511
198	0.5694243251
199	0.568878086
